nombre de noeuds;taille du travail;taille des morceaux;temps du travail
31;100000000;1000;0m5.110s
31;100000000;1000;0m5.031s
31;100000000;1000;0m5.013s
31;1000000000;1000;0m25.037s
31;1000000000;1000;0m25.346s
31;1000000000;1000;0m25.315s
39;1000;1000;0m0.301s
39;1000;1000;0m0.303s
39;1000;1000;0m0.285s
39;10000;1000;0m0.285s
39;10000;1000;0m0.282s
39;10000;1000;0m0.392s
39;100000;1000;0m0.302s
39;100000;1000;0m0.303s
39;100000;1000;0m0.412s
39;1000000;1000;0m0.403s
39;1000000;1000;0m0.407s
39;1000000;1000;0m0.509s
39;10000000;1000;0m1.305s
39;10000000;1000;0m1.310s
39;10000000;1000;0m1.309s
39;100000000;1000;0m5.111s
39;100000000;1000;0m4.993s
39;100000000;1000;0m4.998s
39;1000000000;1000;0m23.336s
39;1000000000;1000;0m23.515s
39;1000000000;1000;0m23.519s
47;1000;1000;0m0.305s
47;1000;1000;0m0.302s
47;1000;1000;0m0.288s
47;10000;1000;0m0.305s
47;10000;1000;0m0.304s
47;10000;1000;0m0.289s
47;100000;1000;0m0.285s
47;100000;1000;0m0.305s
47;100000;1000;0m0.301s
47;1000000;1000;0m0.386s
47;1000000;1000;0m0.390s
47;1000000;1000;0m0.406s
47;10000000;1000;0m1.291s
47;10000000;1000;0m1.285s
47;10000000;1000;0m1.286s
47;100000000;1000;0m5.292s
47;100000000;1000;0m4.994s
47;100000000;1000;0m5.192s
47;1000000000;1000;0m22.448s
47;1000000000;1000;0m22.621s
47;1000000000;1000;0m22.535s
7;1000;10000;0m0.199s
7;1000;10000;0m0.207s
7;1000;10000;0m0.181s
7;10000;10000;0m0.301s
7;10000;10000;0m0.301s
7;10000;10000;0m0.280s
7;100000;10000;0m0.300s
7;100000;10000;0m0.300s
7;100000;10000;0m0.280s
7;1000000;10000;0m0.401s
7;1000000;10000;0m0.399s
7;1000000;10000;0m0.384s
7;10000000;10000;0m0.700s
7;10000000;10000;0m0.699s
7;10000000;10000;0m0.680s
7;100000000;10000;0m3.532s
7;100000000;10000;0m3.624s
7;100000000;10000;0m3.622s
7;1000000000;10000;0m26.528s
7;1000000000;10000;0m26.246s
7;1000000000;10000;0m26.558s
15;1000;10000;0m0.210s
15;1000;10000;0m0.200s
15;1000;10000;0m0.182s
15;10000;10000;0m0.299s
15;10000;10000;0m0.301s
15;10000;10000;0m0.283s
15;100000;10000;0m0.299s
15;100000;10000;0m0.301s
15;100000;10000;0m0.280s
15;1000000;10000;0m0.423s
15;1000000;10000;0m0.404s
15;1000000;10000;0m0.382s
15;10000000;10000;0m0.602s
15;10000000;10000;0m0.606s
15;10000000;10000;0m0.583s
15;100000000;10000;0m2.210s
15;100000000;10000;0m2.203s
15;100000000;10000;0m2.204s
15;1000000000;10000;0m15.722s
15;1000000000;10000;0m15.602s
15;1000000000;10000;0m15.619s
23;1000;10000;0m0.204s
23;1000;10000;0m0.226s
23;1000;10000;0m0.206s
23;10000;10000;0m0.300s
23;10000;10000;0m0.285s
23;10000;10000;0m0.283s
23;100000;10000;0m0.303s
23;100000;10000;0m0.332s
23;100000;10000;0m0.317s
23;1000000;10000;0m0.401s
23;1000000;10000;0m0.382s
23;1000000;10000;0m0.496s
23;10000000;10000;0m0.490s
23;10000000;10000;0m0.524s
23;10000000;10000;0m0.504s
23;100000000;10000;0m1.826s
23;100000000;10000;0m1.705s
23;100000000;10000;0m1.706s
23;1000000000;10000;0m11.513s
23;1000000000;10000;0m11.354s
23;1000000000;10000;0m11.535s
31;1000;10000;0m0.203s
31;10000;10000;0m0.302s
31;100000;10000;0m0.300s
31;1000000;10000;0m0.303s
31;10000000;10000;0m0.504s
31;100000000;10000;0m1.507s
31;1000000000;10000;0m8.907s
31;1000;10000;0m0.246s
31;10000;10000;0m0.299s
31;100000;10000;0m0.303s
31;1000000;10000;0m0.383s
31;10000000;10000;0m0.509s
31;100000000;10000;0m1.508s
31;1000;10000;0m0.203s
31;10000;10000;0m0.300s
31;100000;10000;0m0.304s
31;1000000;10000;0m0.401s
31;10000000;10000;0m0.502s
31;100000000;10000;0m1.507s
39;1000;10000;0m0.206s
39;10000;10000;0m0.273s
39;100000;10000;0m0.284s
39;1000000;10000;0m0.403s
39;10000000;10000;0m0.485s
39;100000000;10000;0m1.389s
39;1000;10000;0m0.204s
39;10000;10000;0m0.274s
39;100000;10000;0m0.283s
39;1000000;10000;0m0.302s
39;10000000;10000;0m0.490s
39;100000000;10000;0m1.414s
39;1000000000;10000;0m7.703s
39;1000000000;10000;0m7.718s
39;1000;10000;0m0.200s
39;10000;10000;0m0.287s
39;100000;10000;0m0.289s
39;1000000;10000;0m0.304s
